Activity,Person on project
Linked Data Roadmap,
Awards Database,
Friends of Databases,
Subcommittee on Research Metrics,
DCTOC,
OCLC Project Passage,
NCSULA,
GitHub for Access Databases,
Schema.org Digital Collections,
A&D License Team,
TRLN Project Management Team,
Semantic Markup for Database Packages,
