Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n40,n45,Undirected,e158,,,1,1
n41,n45,Undirected,e159,,,1,1
n2,n45,Undirected,e160,,,1,1
n42,n45,Undirected,e161,,,1,1
n43,n45,Undirected,e162,,,1,1
n44,n45,Undirected,e163,,,1,1
n35,n44,Undirected,e164,,,1,1
n36,n44,Undirected,e165,,,1,1
n37,n44,Undirected,e166,,,1,1
n38,n44,Undirected,e167,,,1,1
n39,n44,Undirected,e168,,,1,1
n40,n44,Undirected,e169,,,1,1
n41,n44,Undirected,e170,,,1,1
n2,n44,Undirected,e171,,,1,1
n42,n44,Undirected,e172,,,1,1
n43,n44,Undirected,e173,,,1,1
n35,n43,Undirected,e174,,,1,1
n36,n43,Undirected,e175,,,1,1
n37,n43,Undirected,e176,,,1,1
n38,n43,Undirected,e177,,,1,1
n39,n43,Undirected,e178,,,1,1
n40,n43,Undirected,e179,,,1,1
n41,n43,Undirected,e180,,,1,1
n2,n43,Undirected,e181,,,1,1
n42,n43,Undirected,e182,,,1,1
n35,n42,Undirected,e183,,,1,1
n36,n42,Undirected,e184,,,1,1
n37,n42,Undirected,e185,,,1,1
n38,n42,Undirected,e186,,,1,1
n39,n42,Undirected,e187,,,1,1
n40,n42,Undirected,e188,,,1,1
n41,n42,Undirected,e189,,,1,1
n2,n42,Undirected,e190,,,1,1
n2,n35,Undirected,e191,,,1,1
n2,n36,Undirected,e192,,,1,1
n2,n37,Undirected,e193,,,1,1
n2,n38,Undirected,e194,,,1,1
n2,n39,Undirected,e195,,,1,1
n2,n40,Undirected,e196,,,1,1
n2,n41,Undirected,e197,,,1,1
n35,n41,Undirected,e198,,,1,1
n36,n41,Undirected,e199,,,1,1
n37,n41,Undirected,e200,,,1,1
n38,n41,Undirected,e201,,,1,1
n39,n41,Undirected,e202,,,1,1
n40,n41,Undirected,e203,,,1,1
n35,n40,Undirected,e204,,,1,1
n36,n40,Undirected,e205,,,1,1
n37,n40,Undirected,e206,,,1,1
n38,n40,Undirected,e207,,,1,1
n39,n40,Undirected,e208,,,1,1
n35,n39,Undirected,e209,,,1,1
n36,n39,Undirected,e210,,,1,1
n37,n39,Undirected,e211,,,1,1
n38,n39,Undirected,e212,,,1,1
n35,n38,Undirected,e213,,,1,1
n36,n38,Undirected,e214,,,1,1
n37,n38,Undirected,e215,,,1,1
n35,n37,Undirected,e216,,,1,1
n36,n37,Undirected,e217,,,1,1
n35,n36,Undirected,e218,,,1,1
n1,n46,Undirected,e219,,,1,1
n1,n47,Undirected,e220,,,3,3
n0,n47,Undirected,e221,,,2,2
n2,n47,Undirected,e222,,,4,4
n46,n47,Undirected,e223,,,1,1
n0,n46,Undirected,e224,,,1,1
n2,n46,Undirected,e225,,,1,1
n4,n48,Undirected,e226,,,2,2
n1,n4,Undirected,e227,,,10,10
n2,n48,Undirected,e228,,,2,2
n1,n48,Undirected,e229,,,1,1
n1,n49,Undirected,e230,,,1,1
n49,n50,Undirected,e231,,,1,1
n49,n51,Undirected,e232,,,1,1
n2,n49,Undirected,e233,,,1,1
n49,n52,Undirected,e234,,,1,1
n49,n53,Undirected,e235,,,1,1
n49,n54,Undirected,e236,,,1,1
n1,n54,Undirected,e237,,,1,1
n50,n54,Undirected,e238,,,1,1
n51,n54,Undirected,e239,,,1,1
n2,n54,Undirected,e240,,,1,1
n52,n54,Undirected,e241,,,1,1
n53,n54,Undirected,e242,,,1,1
n1,n53,Undirected,e243,,,1,1
n50,n53,Undirected,e244,,,1,1
n51,n53,Undirected,e245,,,1,1
n2,n53,Undirected,e246,,,1,1
n52,n53,Undirected,e247,,,1,1
n1,n52,Undirected,e248,,,1,1
n50,n52,Undirected,e249,,,1,1
n51,n52,Undirected,e250,,,1,1
n2,n52,Undirected,e251,,,1,1
n2,n50,Undirected,e252,,,1,1
n2,n51,Undirected,e253,,,3,3
n1,n51,Undirected,e254,,,3,3
n50,n51,Undirected,e255,,,1,1
n1,n50,Undirected,e256,,,1,1
n55,n56,Undirected,e257,,,1,1
n55,n57,Undirected,e258,,,1,1
n55,n58,Undirected,e259,,,1,1
n55,n59,Undirected,e260,,,1,1
n2,n55,Undirected,e261,,,1,1
n55,n60,Undirected,e262,,,1,1
n56,n60,Undirected,e263,,,1,1
n57,n60,Undirected,e264,,,1,1
n58,n60,Undirected,e265,,,1,1
n59,n60,Undirected,e266,,,4,4
n2,n60,Undirected,e267,,,10,10
n2,n56,Undirected,e268,,,1,1
n2,n57,Undirected,e269,,,1,1
n2,n58,Undirected,e270,,,1,1
n2,n59,Undirected,e271,,,3,3
n56,n59,Undirected,e272,,,1,1
n57,n59,Undirected,e273,,,1,1
n58,n59,Undirected,e274,,,1,1
n56,n58,Undirected,e275,,,1,1
n57,n58,Undirected,e276,,,1,1
n56,n57,Undirected,e277,,,1,1
n1,n61,Undirected,e278,,,1,1
n1,n19,Undirected,e279,,,1,1
n2,n61,Undirected,e280,,,1,1
n61,n19,Undirected,e281,,,1,1
n0,n19,Undirected,e282,,,1,1
n4,n61,Undirected,e283,,,1,1
n0,n4,Undirected,e284,,,1,1
n0,n61,Undirected,e285,,,1,1
n62,n63,Undirected,e286,,,1,1
n2,n62,Undirected,e287,,,1,1
n62,n64,Undirected,e288,,,1,1
n62,n65,Undirected,e289,,,1,1
n62,n66,Undirected,e290,,,1,1
n63,n66,Undirected,e291,,,1,1
n2,n66,Undirected,e292,,,1,1
n64,n66,Undirected,e293,,,1,1
n65,n66,Undirected,e294,,,1,1
n63,n65,Undirected,e295,,,1,1
n2,n65,Undirected,e296,,,1,1
n64,n65,Undirected,e297,,,1,1
n63,n64,Undirected,e298,,,1,1
n2,n64,Undirected,e299,,,1,1
n2,n63,Undirected,e300,,,1,1
n4,n78,Undirected,e301,,,1,1
n48,n78,Undirected,e302,,,1,1
n2,n78,Undirected,e303,,,1,1
n21,n78,Undirected,e304,,,1,1
n21,n48,Undirected,e305,,,1,1
n67,n68,Undirected,e306,,,1,1
n67,n69,Undirected,e307,,,1,1
n29,n67,Undirected,e308,,,1,1
n26,n67,Undirected,e309,,,1,1
n2,n67,Undirected,e310,,,1,1
n2,n68,Undirected,e311,,,1,1
n2,n69,Undirected,e312,,,1,1
n26,n68,Undirected,e313,,,1,1
n26,n69,Undirected,e314,,,1,1
n29,n68,Undirected,e315,,,1,1
n29,n69,Undirected,e316,,,1,1
n68,n69,Undirected,e317,,,1,1
n1,n70,Undirected,e318,,,1,1
n1,n71,Undirected,e319,,,1,1
n4,n72,Undirected,e320,,,2,2
n70,n72,Undirected,e321,,,1,1
n71,n72,Undirected,e322,,,1,1
n4,n71,Undirected,e323,,,1,1
n2,n71,Undirected,e324,,,1,1
n70,n71,Undirected,e325,,,1,1
n4,n70,Undirected,e326,,,1,1
n2,n70,Undirected,e327,,,1,1
n73,n74,Undirected,e328,,,1,1
n73,n75,Undirected,e329,,,1,1
n2,n73,Undirected,e330,,,1,1
n73,n76,Undirected,e331,,,1,1
n74,n76,Undirected,e332,,,1,1
n75,n76,Undirected,e333,,,1,1
n2,n76,Undirected,e334,,,2,2
n2,n74,Undirected,e335,,,1,1
n2,n75,Undirected,e336,,,1,1
n74,n75,Undirected,e337,,,1,1
n60,n77,Undirected,e338,,,1,1
n60,n78,Undirected,e339,,,10,10
n59,n77,Undirected,e340,,,1,1
n59,n78,Undirected,e341,,,2,2
n77,n78,Undirected,e342,,,1,1
n2,n77,Undirected,e343,,,1,1
n4,n79,Undirected,e344,,,1,1
n79,n80,Undirected,e345,,,1,1
n2,n79,Undirected,e346,,,1,1
n2,n80,Undirected,e347,,,1,1
n4,n80,Undirected,e348,,,1,1
n1,n81,Undirected,e349,,,1,1
n2,n81,Undirected,e350,,,1,1
n47,n81,Undirected,e351,,,1,1
n2,n82,Undirected,e352,,,1,1
n2,n83,Undirected,e353,,,2,2
n2,n84,Undirected,e354,,,1,1
n2,n85,Undirected,e355,,,1,1
n2,n86,Undirected,e356,,,1,1
n0,n86,Undirected,e357,,,1,1
n1,n86,Undirected,e358,,,1,1
n82,n86,Undirected,e359,,,1,1
n83,n86,Undirected,e360,,,1,1
n84,n86,Undirected,e361,,,1,1
n85,n86,Undirected,e362,,,1,1
n0,n85,Undirected,e363,,,1,1
n1,n85,Undirected,e364,,,1,1
n82,n85,Undirected,e365,,,1,1
n83,n85,Undirected,e366,,,1,1
n84,n85,Undirected,e367,,,1,1
n0,n84,Undirected,e368,,,1,1
n1,n84,Undirected,e369,,,1,1
n82,n84,Undirected,e370,,,1,1
n83,n84,Undirected,e371,,,1,1
n0,n83,Undirected,e372,,,2,2
n1,n83,Undirected,e373,,,2,2
n82,n83,Undirected,e374,,,1,1
n0,n82,Undirected,e375,,,1,1
n1,n82,Undirected,e376,,,1,1
n47,n60,Undirected,e377,,,1,1
n60,n87,Undirected,e378,,,1,1
n47,n87,Undirected,e379,,,1,1
n59,n87,Undirected,e380,,,1,1
n2,n87,Undirected,e381,,,1,1
n47,n59,Undirected,e382,,,1,1
n88,n89,Undirected,e383,,,1,1
n88,n90,Undirected,e384,,,1,1
n2,n88,Undirected,e385,,,1,1
n2,n89,Undirected,e386,,,1,1
n2,n90,Undirected,e387,,,3,3
n89,n90,Undirected,e388,,,1,1
n91,n92,Undirected,e389,,,1,1
n91,n93,Undirected,e390,,,1,1
n91,n94,Undirected,e391,,,3,3
n91,n95,Undirected,e392,,,1,1
n91,n96,Undirected,e393,,,1,1
n91,n97,Undirected,e394,,,1,1
n91,n98,Undirected,e395,,,1,1
n2,n91,Undirected,e396,,,1,1
n91,n99,Undirected,e397,,,1,1
n91,n100,Undirected,e398,,,1,1
n91,n101,Undirected,e399,,,1,1
n91,n102,Undirected,e400,,,1,1
n91,n103,Undirected,e401,,,1,1
n91,n104,Undirected,e402,,,1,1
n91,n134,Undirected,e403,,,1,1
n91,n105,Undirected,e404,,,1,1
n91,n106,Undirected,e405,,,1,1
n92,n106,Undirected,e406,,,1,1
n93,n106,Undirected,e407,,,1,1
n94,n106,Undirected,e408,,,1,1
n95,n106,Undirected,e409,,,1,1
n96,n106,Undirected,e410,,,1,1
n97,n106,Undirected,e411,,,1,1
n98,n106,Undirected,e412,,,1,1
n2,n106,Undirected,e413,,,1,1
n99,n106,Undirected,e414,,,1,1
n100,n106,Undirected,e415,,,1,1
n101,n106,Undirected,e416,,,1,1
n102,n106,Undirected,e417,,,1,1
n103,n106,Undirected,e418,,,1,1
n104,n106,Undirected,e419,,,1,1
n134,n106,Undirected,e420,,,1,1
n105,n106,Undirected,e421,,,1,1
n92,n105,Undirected,e422,,,1,1
n93,n105,Undirected,e423,,,1,1
n94,n105,Undirected,e424,,,1,1
n95,n105,Undirected,e425,,,1,1
n96,n105,Undirected,e426,,,1,1
n97,n105,Undirected,e427,,,1,1
n98,n105,Undirected,e428,,,1,1
n2,n105,Undirected,e429,,,1,1
n99,n105,Undirected,e430,,,1,1
n100,n105,Undirected,e431,,,1,1
n101,n105,Undirected,e432,,,1,1
n102,n105,Undirected,e433,,,1,1
n103,n105,Undirected,e434,,,1,1
n104,n105,Undirected,e435,,,1,1
n134,n105,Undirected,e436,,,1,1
n92,n134,Undirected,e437,,,1,1
n93,n134,Undirected,e438,,,1,1
n94,n134,Undirected,e439,,,1,1
n95,n134,Undirected,e440,,,1,1
n96,n134,Undirected,e441,,,1,1
n97,n134,Undirected,e442,,,1,1
n98,n134,Undirected,e443,,,1,1
n2,n134,Undirected,e444,,,1,1
n99,n134,Undirected,e445,,,1,1
n100,n134,Undirected,e446,,,1,1
n101,n134,Undirected,e447,,,1,1
n102,n134,Undirected,e448,,,1,1
n103,n134,Undirected,e449,,,1,1
n104,n134,Undirected,e450,,,1,1
n92,n104,Undirected,e451,,,1,1
n93,n104,Undirected,e452,,,1,1
