label,number_of_authored_works,times_cited,uniqueIndex,combineValues
"Chinnadurai, Sk",3,6,186,*
"Nutt, Jn",1,1,187,*
"Pandiri, A",1,1,188,*
"Alley, Ml",1,1,189,*
"Horowitz, Jm",1,8,190,*
"Kim, Th",1,8,191,*
"Chiera, Sl",1,8,192,*
"Trempus, Cs",1,8,193,*
"Smart, Rc",2,26,194,*
"Piedrahita, Ja",2,19,195,*
"Mccalla-martin, Ac",2,19,196,*
"Chen, Xx",2,19,197,*
"Estrada, Jl",2,19,198,*
"Zadrozny, L",1,10,199,*
"Pease, Ap",2,26,200,*
"Liles, Sr",1,5,201,*
"Cain, B",1,5,202,*
"House, Js",1,18,203,*
"Zhu, Sy",1,18,204,*
"Ranjan, R",1,18,205,*
"Paps, J",1,13,56,
"Travis, A",1,31,207,*
"Lee, W",1,31,208,*
"Bissett, Sa",1,31,209,*
"Breen, M",1,43,210,*
"Thomas, R",1,43,211,*
"Duke, Se",1,43,212,*
"Wang, Hj",1,43,213,*
"Breen, Te",1,43,214,*
"Higgins, Rj",1,43,215,*
"Ellis, P",1,43,216,*
"Langford, Cf",1,43,217,*
"Dickinson, Pj",1,43,218,*
"Horton, S",1,26,219,*
"Van Wettere, Aj",2,7,220,*
"Suter, Se",2,7,221,*
"Weinberg, G",1,21,222,*
"Santoro, D",1,3,223,*
"Pease, A",1,3,200,
"Papich, Mg",1,10,225,*
"Davidson, Gs",1,10,226,*
"Goldman, Rb",1,10,227,*
"Roe, Sc",1,2,228,*
"Mitsui, A",1,2,229,*
"Kruse, Ma",1,2,230,*
"Loomis, M",1,3,157,
"Tuttle, Ad",3,10,232,*
"Maclean, Ra",1,3,233,*
"Wolfe, Ba",1,3,234,*
"Harms, Ca",2,5,235,*
"Brown, Dl",1,3,236,*
"Van Wettere, A",2,5,220,
"Fatzinger, Mh",1,3,238,*
"Hardie, Em",1,21,239,*
"Devoe, Rs",1,2,240,*
"Meuten, Dj",1,7,241,*
"Ranck, Rs",2,15,242,*
"Haber, Md",1,7,243,*
"Snyder, La",1,0,244,*
"Munana, Kr",1,8,245,*
"Mackillop, E",2,13,246,*
"Redding, R",1,4,247,*
"Frederico, L",1,4,248,*
"Gunkel, C",1,4,249,*
"Remick, A",2,11,250,*
"Brown, Tt",1,5,251,*
"Grindem, C",1,7,29,
"Tarigo, J",1,7,25,
"Neel, J",1,7,32,
"Harvey, S",1,7,256,
"Harvey, Sb",1,2,256,*
"Cannon, Cz",1,2,257,*
"Brizuela, Bj",1,2,258,*
"Monteiro-riviere, N",1,0,177,
"Shin, K",1,0,260,*
"Dixon, D",1,22,261,*
"Mozzachio, K",1,22,262,*
